participant_id,condition,trial,rt,correct
P003,B,1,368,1
P003,B,2,371,1
P003,B,3,374,1
P003,B,4,377,1
P003,B,5,380,1
P003,B,6,365,1
P003,B,7,368,0
P003,B,8,371,1
P003,B,9,374,1
P003,B,10,377,1
P003,B,11,380,1
P003,B,12,365,1
P003,B,13,368,1
P003,B,14,371,0
P003,B,15,374,1
P003,B,16,377,1
P003,B,17,380,1
P003,B,18,365,1
P003,B,19,368,1
P003,B,20,371,1
P003,B,21,374,0
P003,B,22,377,1
P003,B,23,380,1
P003,B,24,365,1
P003,B,25,368,1
P003,B,26,371,1
P003,B,27,374,1
P003,B,28,377,0
P003,B,29,380,1
P003,B,30,365,1
P003,B,31,368,1
P003,B,32,371,1
P003,B,33,374,1
P003,B,34,377,1
P003,B,35,380,0
P003,B,36,365,1
P003,B,37,368,1
P003,B,38,371,1
P003,B,39,374,1
P003,B,40,377,1
P003,B,41,380,1
P003,B,42,365,0
